impressions,campaign_id,account_name,campaign_name,ctr,clicks,adset_id,ad_id,cpc,cpm,adset_name,spend,date_start,conversions
140,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],7.142857,10,23845520496510149,23845520496500149,0.297,21.214286,NRTV=AWR07_Natural__CONV=purchase,2.97,2020-07-29 0:00:00,0
554,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.34657,13,23845474015460149,23845476317950149,1.188462,27.888087,NRTV=AWR01_productExplainer__CONV=purchase,15.45,2020-07-29 0:00:00,0
2365,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],5.243129,124,23845476403290149,23845476403260149,0.47121,24.706131,NRTV=AWR03_OrganicChange__CONV=purchase,58.43,2020-07-29 0:00:00,0
442,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.846154,17,23845474015460149,23845476317940149,1.057647,40.678733,NRTV=AWR01_productExplainer__CONV=purchase,17.98,2020-07-29 0:00:00,0
489,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.703476,23,23845474015460149,23845476317930149,0.963478,45.316973,NRTV=AWR01_productExplainer__CONV=purchase,22.16,2020-07-29 0:00:00,0
239,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.60251,11,23845520496510149,23845520496540149,0.549091,25.271967,NRTV=AWR07_Natural__CONV=purchase,6.04,2020-07-29 0:00:00,2
831,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.888087,24,23845476403290149,23845476403270149,1.271667,36.726835,NRTV=AWR03_OrganicChange__CONV=purchase,30.52,2020-07-29 0:00:00,0
174,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.298851,4,23845520339350149,23845520339360149,1.66,38.16092,NRTV=AWR05_TikTokExplainer__CONV=purchase,6.64,2020-07-29 0:00:00,0
641,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.560062,10,23845520339350149,23845520339380149,1.679,26.193448,NRTV=AWR05_TikTokExplainer__CONV=purchase,16.79,2020-07-29 0:00:00,0
279,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],4.659498,13,23845476576250149,23845476576230149,0.423846,19.749104,NRTV=AWR04_DylanAshland__CONV=purchase,5.51,2020-07-29 0:00:00,0
408,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.715686,7,23845520445510149,23845520445540149,1.347143,23.112745,NRTV=AWR06_Naturalproduct__CONV=purchase,9.43,2020-07-29 0:00:00,0
353,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],1.133144,4,23844842610380149,23844842610360149,3.4525,39.121813,[Content] All ATC / IC - 30 Days,13.81,2020-07-29 0:00:00,2
410,23844758987700149,Sample,04_Remarketing_BOFU_3.31.2020 [RT],2.682927,11,23845394274510149,23845443237380149,2.478182,66.487805,Top10%TOS+Lead+ATC+IC 3 Days - Optimize = Link Clicks - 7.6.20,27.26,2020-07-29 0:00:00,0
931,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],3.007519,28,23845520445510149,23845520445530149,0.619643,18.635875,NRTV=AWR06_Naturalproduct__CONV=purchase,17.35,2020-07-29 0:00:00,0
500,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],5.2,26,23845520496510149,23845520496530149,0.487692,25.36,NRTV=AWR07_Natural__CONV=purchase,12.68,2020-07-29 0:00:00,0
468,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],1.709402,8,23845520445510149,23845520445520149,1.7575,30.042735,NRTV=AWR06_Naturalproduct__CONV=purchase,14.06,2020-07-29 0:00:00,0
601,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],7.8203,47,23845476576250149,23845476576240149,0.261915,20.482529,NRTV=AWR04_DylanAshland__CONV=purchase,12.31,2020-07-29 0:00:00,1
222,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],0.45045,1,23844842610380149,23844842610320149,17.64,79.459459,[Content] All ATC / IC - 30 Days,17.64,2020-07-29 0:00:00,3
281,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],2.491103,7,23845520445510149,23845520445550149,1.601429,39.893238,NRTV=AWR06_Naturalproduct__CONV=purchase,11.21,2020-07-29 0:00:00,1
468,23844842610240149,Sample,04_Remarketing_Content_ATC/IC_4.10.2020 [RT],1.282051,6,23844842610380149,23844842610250149,8.84,113.333333,[Content] All ATC / IC - 30 Days,53.04,2020-07-29 0:00:00,0
159,23845453046160149,Sample,02_Prospecting_LC_Broad_Narrative [PROS],0.628931,1,23845520496510149,23845520496520149,6.41,40.314465,NRTV=AWR07_Natural__CONV=purchase,6.41,2020-07-29 0:00:00,0
